time,headline,indico_score
2014-03-11T12:00:07Z,Bitcoin Foundation Bolsters Its Ranks,0.5680580334471965
2014-03-11T15:09:42Z,Beware Bitcoin: U.S. Brokerage Regulator,0.29690947075296426
2014-03-11T17:14:02Z,U.S. Judge Freezes Assets of Mt. Gox Bitcoin Exchange Boss,0.3429520734890015
2014-03-11T17:18:00Z,U.S. Swaps Watchdog Says Considering Bitcoin Regulation,0.541879108292263
2014-03-11T19:04:18Z,"At Tech Fest: 3D Printers, Bitcoin and 'Titanfall'",0.5187080954563471
2014-03-11T19:10:18Z,A Turnaround for Bitcoin at SXSW,0.48916643305182206
2014-03-14T01:51:29Z,Mind Your Wallet: Why the Underworld Loves Bitcoin,0.610245982292927
2014-03-15T11:13:43Z,U.S. Class Action Over Bitcoin Losses Names Mizuho as Defendant,0.45750457886179646
2014-03-16T01:26:44Z,"Japan's Mizuho in U.S., Canada Suits Over Mt. Gox Bitcoin Losses",0.5071557475793933
2014-03-17T00:00:00Z,Letter From Nakamoto on Bitcoin Claim,0.4100975698188247
2014-03-17T13:19:01Z,Nakamoto Hires Lawyer in Newsweek Bitcoin Fight,0.603808953497207
2014-03-18T00:00:00Z,Putative Bitcoin Founder Categorically Denies It ,0.49925351433393483
2014-03-18T02:50:23Z,"Mt. Gox Updates Website, Allows Customers to Check Bitcoin Balances",0.496068162540538
2014-03-18T23:00:38Z,"Fortress, Benchmark and Ribbit  Buy Stake in Pantera Bitcoin ",0.5530563855140849
2014-03-19T16:52:06Z,"In Hong Kong, Placing Their Bets on Bitcoin",0.5120108098475963
2014-03-19T19:39:45Z,Bitcoin Firms Explore U.S. Rules for Derivative Exchanges,0.46281431268714646
2014-03-20T00:00:00Z,Placing Their Bets on Bitcoin,0.524255892181806
2014-03-20T07:50:07Z,Daily Report: Entrepreneurs in Hong Kong Place Their Bets on Bitcoin,0.5378758080713012
2014-03-21T08:11:58Z,Mt. Gox Says It Found Missing Bitcoin Worth About $116 Million,0.19442277319219303
2014-03-25T14:43:08Z,IRS Says Bitcoin Will Be Taxed Like Property,0.4762352556024199
2014-03-25T14:59:47Z,I.R.S. Takes a Position on Bitcoin: It's Property ,0.5630124202974056
2014-03-25T18:28:36Z,Andreessen Skewers Buffett for Doubting Bitcoin,0.5316705408838205
2014-03-26T01:33:53Z,Mt. Gox Says Working With Police in Missing Bitcoin Probe,0.4641195442242248
2014-03-26T09:01:11Z,Start-Up Unveils Bitcoin Payments Product,0.44877293603831403
2014-03-26T10:02:44Z,"Taxes Won't Kill Bitcoin, but Tax Reporting Might",0.43640490219756733
2014-03-28T08:07:26Z,"Bitcoin at a 'Fork in the Road,' Analyst Says",0.4766876763138926
2014-03-31T17:49:09Z,Makers of Bitcoin A.T.M.'s See a Not-Quite-Cashless Future,0.43444248087873183
2014-04-01T14:23:53Z,Essay: The Real Competition to Virtual Currency,0.4749368650021502
2014-04-01T16:39:54Z,"To Instill Love of Bitcoin, Backers Work to Make It Safe",0.23583777564606384
2014-04-01T17:05:44Z,Bitcoin Derivatives Platform BTC Gets Funding From Seedcoin,0.5372537435797914
2014-04-01T17:27:21Z,Judge Orders Mt Gox CEO to U.S. for Questions on Failed Bitcoin Exchange,0.3823083694033252
