time,headline,alchemy_score
2014-03-01T00:00:00Z,The Bitcoin Blasphemy,-0.558365
2014-03-03T03:03:49Z,Bitcoin Exchange Looks Into Criminal Complaint,-0.722463
2014-03-03T12:02:01Z,Bitcoin Loss Highlights Elusive Paths of Regulation ,-0.728419
2014-03-03T16:50:45Z,Mt. Gox Collapse Could Ultimately Help Bitcoin-New York Regulator,-0.251819
2014-03-04T14:14:35Z,Japan to Regulate and Tax Bitcoin Trades: Nikkei,-0.222537
2014-03-04T18:13:51Z,Bitcoin Bank Flexcoin Shuts Down After Theft,-0.728011
2014-03-04T19:15:44Z,"Japan to Set Bitcoin Rules, Stop Banks and Brokerages From Handling",0.0
2014-03-04T23:47:19Z,Japan LDP Official: Bitcoin Rule Needed for Consumer Protection,0.356047
2014-03-05T01:07:20Z,Japan Said to Be Ready to Impose Bitcoin Rules,0.0
2014-03-05T02:57:56Z,"Japan May Tax Bitcoin Deals, Stop Banks, Brokerages From Handling",0.0
2014-03-05T02:58:35Z,"Japan May Tax Bitcoin Deals, Stop Banks, Brokerages From Handling",0.0
2014-03-05T03:08:13Z,Canadian Police Investigating After Bitcoin Bank Flexcoin Folds,0.0
2014-03-05T04:23:51Z,Japan LDP Official: Bitcoin Rule Needed for Consumer Protection,0.356047
2014-03-05T21:27:24Z,Singapore Police Probe 'Unnatural' Death of American CEO of Bitcoin Trader,-0.654553
2014-03-06T00:00:00Z,"For Bitcoin, Secure Future Might Need Oversight",0.276986
2014-03-06T00:35:40Z,"CEO in Apparent Suicide Was Bitcoin Fan, Had Other Issues, Too",-0.212253
2014-03-06T00:49:28Z,CEO of Bitcoin Exchange Found Dead in Singapore,-0.372735
2014-03-06T07:10:48Z,"Daily Report: To Ensure a Secure Future, Bitcoin Might Need Oversight ",0.605316
2014-03-06T14:20:57Z,Bitcoin Is a Protocol. Bitcoin Is a Brand.,0.286155
2014-03-06T19:18:05Z,Japan Says Not Fully Apprised of Bitcoin Situation,-0.371849
2014-03-06T19:34:57Z,Man Said to Create Bitcoin Denies It,-0.704258
2014-03-06T22:07:18Z,Bitcoin True Believers Unfazed by Losses in Mt. Gox Collapse,-0.357987
2014-03-06T23:57:15Z,Japan Won't Impose Banking Laws on Bitcoin,0.0
2014-03-07T03:47:16Z,"A Week After Mt. Gox Collapse, Japan Struggles to Understand Bitcoin",-0.783679
2014-03-07T07:07:55Z,Daily Report: Mystery Swirls Around Unmasking of Bitcoin Inventor,0.374893
2014-03-07T12:41:43Z,Alleged Bitcoin founder denies involvement,-0.68321
2014-03-07T12:51:43Z,Alleged Bitcoin founder denies involvement,-0.68321
2014-03-08T00:00:00Z,Newsweek Returns to Print and Sets Off a Bitcoin Storm,-0.508767
2014-03-10T15:30:51Z,Morgan Stanley Chief Calls Bitcoin 'Surreal',0.0
2014-03-10T15:32:46Z,Japanese Bitcoin Exchange Files US Bankruptcy Case,-0.704184
2014-03-11T12:00:07Z,Bitcoin Foundation Bolsters Its Ranks,0.354707
2014-03-11T15:09:42Z,Beware Bitcoin: U.S. Brokerage Regulator,-0.700657
2014-03-11T17:14:02Z,U.S. Judge Freezes Assets of Mt. Gox Bitcoin Exchange Boss,-0.320028
2014-03-11T17:18:00Z,U.S. Swaps Watchdog Says Considering Bitcoin Regulation,-0.265067
2014-03-11T19:04:18Z,"At Tech Fest: 3D Printers, Bitcoin and 'Titanfall'",0.211031
2014-03-11T19:10:18Z,A Turnaround for Bitcoin at SXSW,0.262911
2014-03-14T01:51:29Z,Mind Your Wallet: Why the Underworld Loves Bitcoin,-0.200522
2014-03-15T11:13:43Z,U.S. Class Action Over Bitcoin Losses Names Mizuho as Defendant,-0.524637
2014-03-16T01:26:44Z,"Japan's Mizuho in U.S., Canada Suits Over Mt. Gox Bitcoin Losses",-0.719699
2014-03-17T00:00:00Z,Letter From Nakamoto on Bitcoin Claim,-0.418023
2014-03-17T13:19:01Z,Nakamoto Hires Lawyer in Newsweek Bitcoin Fight,-0.551908
2014-03-18T00:00:00Z,Putative Bitcoin Founder Categorically Denies It ,-0.612691
2014-03-18T02:50:23Z,"Mt. Gox Updates Website, Allows Customers to Check Bitcoin Balances",0.76406
2014-03-18T23:00:38Z,"Fortress, Benchmark and Ribbit  Buy Stake in Pantera Bitcoin ",0.0
2014-03-19T16:52:06Z,"In Hong Kong, Placing Their Bets on Bitcoin",0.0
2014-03-19T19:39:45Z,Bitcoin Firms Explore U.S. Rules for Derivative Exchanges,-0.377795
2014-03-20T00:00:00Z,Placing Their Bets on Bitcoin,0.0
2014-03-20T07:50:07Z,Daily Report: Entrepreneurs in Hong Kong Place Their Bets on Bitcoin,0.0
2014-03-21T08:11:58Z,Mt. Gox Says It Found Missing Bitcoin Worth About $116 Million,-0.782758
2014-03-25T14:43:08Z,IRS Says Bitcoin Will Be Taxed Like Property,0.0
2014-03-25T14:59:47Z,I.R.S. Takes a Position on Bitcoin: It's Property ,-0.310136
