time,headline,sentiment,sentimentValue
2014-03-26T01:33:53Z,Mt. Gox Says Working With Police in Missing Bitcoin Probe,Negative,1
2014-03-26T09:01:11Z,Start-Up Unveils Bitcoin Payments Product,Negative,1
2014-03-26T10:02:44Z,"Taxes Won't Kill Bitcoin, but Tax Reporting Might",Negative,1
2014-03-28T08:07:26Z,"Bitcoin at a 'Fork in the Road,' Analyst Says",Negative,1
2014-03-31T17:49:09Z,Makers of Bitcoin A.T.M.'s See a Not-Quite-Cashless Future,Neutral,2
2014-04-01T14:23:53Z,Essay: The Real Competition to Virtual Currency,Negative,1
2014-04-01T16:39:54Z,"To Instill Love of Bitcoin, Backers Work to Make It Safe",Negative,1
2014-04-01T17:05:44Z,Bitcoin Derivatives Platform BTC Gets Funding From Seedcoin,Negative,1
2014-04-01T17:27:21Z,Judge Orders Mt Gox CEO to U.S. for Questions on Failed Bitcoin Exchange,Negative,1
2014-04-02T00:00:00Z,How to Explain Bitcoin to Your Mom!,Negative,1
2014-04-06T00:00:00Z,My Bitcoin Befuddlement,Negative,1
2014-04-08T11:50:54Z,"Justice Department Wary of Bitcoin, Attorney General Says",Negative,1
2014-04-08T21:42:53Z,Bitcoin ATM unveiled on Capitol Hill,Negative,1
2014-04-08T21:43:46Z,Bitcoin ATM unveiled on Capitol Hill,Positive,3
2014-04-09T06:09:04Z,"Justice Department Wary of Bitcoin, Attorney General Says",Neutral,2
2014-04-09T11:29:17Z,Fla. Bitcoin Case Tests Money Laundering Limits,Negative,1
2014-04-09T18:43:45Z,"Rolex, Art & Money: a day in the life of a bitcoin junkie",Negative,1
2014-04-10T17:57:00Z,Investor Group Offers to Buy Mt. Gox for One Bitcoin: WSJ,Negative,1
2014-04-11T09:47:59Z,China Bitcoin Exchanges Say Certain Banks to Close Their Accounts,Neutral,2
2014-04-14T17:41:31Z,Bitcoin Promoter Shrem Indicted in NY for Money Laundering,Neutral,2
2014-04-16T06:44:10Z,"China Gets First Bitcoin ATM, Skirting Bank Crackdown",Neutral,2
2014-04-17T18:42:50Z,Mt. Gox Suitors Seek Support to Save Bitcoin Exchange,Negative,1
2014-04-18T18:32:27Z,Mt. Gox Suitors Seek Support to Save Bitcoin Exchange,Negative,1
2014-04-20T21:27:42Z,"At Mt. Gox Bitcoin Hub,' Geek' CEO Sought Both Control and Escape",Negative,1
2014-04-20T21:27:42Z,"Bitcoin Boss Karpeles Easily Led, Not Dishonest: Mother",Negative,1
2014-04-21T05:04:38Z,"Bitcoin Boss Karpeles Easily Led, Not Dishonest: Mother",Positive,3
2014-04-21T05:04:38Z,"At Mt. Gox Bitcoin Hub,' Geek' CEO Sought Both Control and Escape",Neutral,2
2014-04-22T00:55:57Z,"Insight: At Mt. Gox Bitcoin Hub,' Geek' CEO Sought Both Control and Escape",Positive,3
2014-04-29T00:23:00Z,Bitcoin Traders Settle Class Actions Over Failed Mt. Gox Exchange,Negative,1
2014-04-29T11:29:50Z,U.S. State Regulators Issue Warnings on Virtual Currency,Negative,1
2014-04-29T17:07:08Z,MIT Undergrads to Get $100 in Bitcoin in Digital Money Trial,Negative,1
2014-05-08T02:36:05Z,Two More Chinese Banks to Close Bitcoin Trading Accounts,Negative,1
2014-05-08T17:45:49Z,Winklevoss Twins to List Bitcoin Fund on Nasdaq,Negative,1
2014-05-08T21:32:59Z,U.S. Election Panel Approves Bitcoin Donations to Political Committees,Negative,1
2014-05-09T00:00:00Z,Election Commission Votes to Allow Bitcoin Donations,Negative,1
2014-05-09T17:29:44Z,Colorado Lawmaker to Accept Donations in Bitcoin,Negative,1
2014-05-13T12:37:27Z,Bitcoin Needs Regulatory Framework to Change 'Risky' Image,Negative,1
2014-05-16T01:01:26Z,Bitcoin Foundation Hit by Resignations Over New Director,Negative,1
2014-05-17T16:05:05Z,U.S. States Take Lead in Writing Bitcoin Rules,Negative,1
2014-05-19T21:04:32Z,U.S. Authorities Probe Bitcoin Exchanges Over Illegal Transactions: WSJ,Negative,1
2014-05-23T10:04:18Z,Bitcoin ATM Installed at Downtown Vegas Casino,Negative,1
2014-05-29T07:01:20Z,Dish to Become Largest Company to Accept Bitcoin,Negative,1
2014-05-29T10:29:56Z,Dish Network Says It Will Accept Bitcoin,Neutral,2
2014-06-03T12:41:15Z,Co-owner of Bitcoin-Linked Sites Settles SEC Case,Neutral,2
2014-06-03T12:42:42Z,Bitcoin Entrepreneur Settles SEC Charges Over Stock Sales,Negative,1
2014-06-12T17:43:49Z,US Marshals to Auction Seized Bitcoin,Negative,1
2014-06-12T20:53:10Z,U.S. Marshals to Auction Bitcoin Seized in Raid on Silk Road Market,Negative,1
2014-06-13T13:53:40Z,King's College in New York to Accept Bitcoin,Negative,1
2014-06-16T13:12:46Z,Bitcoin Security Firm BitGo Raises $12 Million ,Neutral,2
